field,value
affected_areas.component_fragmentation_increase,8362
affected_areas.delivery,aggregated metrics; building-level demographics excluded
assumptions.assumption_source,explicit CITY GAP validation exercise rule
assumptions.explicitly_confirmed,True
assumptions.hazard_classes[0],0.5m以上1.0m未満
assumptions.hazard_classes[1],0.5m未満
assumptions.hazard_classes[2],1.0m以上2.0m未満
assumptions.hazard_classes[3],2.0m以上3.0m未満
assumptions.hazard_classes[4],3.0m以上5.0m未満
assumptions.hazard_classes[5],5.0m以上
assumptions.hazard_classes[6],与保呂川水系与保呂川、椿川、菅坂川洪水浸水想定区域図
assumptions.hazard_classes[7],伊佐津川水系伊佐津川洪水浸水想定区域図
assumptions.hazard_classes[8],志楽川水系志楽川洪水浸水想定区域図
assumptions.hazard_classes[9],朝来川水系朝来川、吉野川洪水浸水想定区域図（吉野川）
assumptions.hazard_classes[10],朝来川水系朝来川、吉野川洪水浸水想定区域図（朝来川）
assumptions.hazard_classes[11],祖母谷川水系祖母谷川洪水浸水想定区域図
assumptions.hazard_classes[12],福井川水系福井川洪水浸水想定区域図
assumptions.hazard_classes[13],高野川水系高野川、女布川洪水浸水想定区域図
assumptions.hazard_dataset_version,maizuru-plateau-2025-flood
assumptions.hazard_type,flood
assumptions.limitation,"This is a counterfactual stress test, not a prediction of road passability."
assumptions.rule,overlap_edges_unavailable
city.city_code,26202
city.city_id,maizuru
city.name,舞鶴市
critical_roads[0].affected_buildings,196
critical_roads[0].affected_estimated_elderly_population,67.992125
critical_roads[0].algorithm,tarjan_bridge_subtree_demand_v1
critical_roads[0].component_id,0
critical_roads[0].edge_id,exp::5e8ef6fef641bd8d05e2
critical_roads[0].isolated_node_count,76
critical_roads[0].service_reachability_change.evacuation,196
critical_roads[0].service_reachability_change.medical,196
critical_roads[0].service_reachability_change.transport_hub,196
critical_roads[0].source,exp::tran_7427c33c-8a50-4e43-80bd-9bac318c47a9:0
critical_roads[0].target,exp::tran_bff6c784-461a-442e-b931-864d6fcde93b:0
critical_roads[1].affected_buildings,195
critical_roads[1].affected_estimated_elderly_population,67.778882
critical_roads[1].algorithm,tarjan_bridge_subtree_demand_v1
critical_roads[1].component_id,0
critical_roads[1].edge_id,exp::738e9f8a8f7578ead0fe
critical_roads[1].isolated_node_count,75
critical_roads[1].service_reachability_change.evacuation,195
critical_roads[1].service_reachability_change.medical,195
critical_roads[1].service_reachability_change.transport_hub,195
critical_roads[1].source,exp::tran_bbcfdba2-3293-47f6-a15e-ed9330ab0adf:0
critical_roads[1].target,exp::tran_bff6c784-461a-442e-b931-864d6fcde93b:0
critical_roads[2].affected_buildings,187
critical_roads[2].affected_estimated_elderly_population,138.442279
critical_roads[2].algorithm,tarjan_bridge_subtree_demand_v1
critical_roads[2].component_id,0
critical_roads[2].edge_id,exp::97c2c5b786543d476b7a
critical_roads[2].isolated_node_count,103
critical_roads[2].service_reachability_change.evacuation,187
critical_roads[2].service_reachability_change.medical,187
critical_roads[2].service_reachability_change.transport_hub,0
